content,notes,number
"Resume Overview
Did You Know?
A recruiter spends an average of six seconds reviewing individual resumes - TheLadders




Structure
Standard template
Consistent font & format
Logical order
Purpose
1 pager to market yourself
Consolidated overview of your history
Snapshot of skills, experiences, expertise
Outcomes
Determining factor for a phone screen (recruiter)
Background info for discussion topics (alumns)
Reminder of accomplishments, career traction, and areas for growth & development (yourself)",PANOS,45
"
Reviewing a Resume  Financial Analyst Position
EDUCATION
Bryn Mawr College 			                Major GPA: 3.73    Minor GPA: 2.5
Major: Economics, Minor Art History
Coursework: American Politics, Japanese Sculpture, Medieval Humanism, Art Surrealism, Renaissance Art History, Advanced Spanish Literature, Advanced Corporate Finance, Financial and Managerial Accounting, Principles of Economics, Money and Banking
Volunteer: Radnor High School Community Service Society (2013, 2014) 
Technical: N/A

EXPERIENCE
Verify Asset Management (May 2017  Aug 2017) 			  Boston, MA
Intern, Portfolio Management
Created reports and sent to director
Conducted research on assets for portfolios
Worked with a team

YMCA Summer Camp (June 2016  Aug 2016)                                                                          Phil., PA
Camp Counselor
Taught archery to camp attendees
Coordinated social events
Led bunk team",PANOS,46
"
EDUCATION
Bryn Mawr College 			                Major GPA: 3.73    Minor GPA: 2.5
Major: Economics, Minor Art History
Coursework: American Politics, Japanese Sculpture, Medieval Humanism, Art Surrealism, Renaissance Art History, Advanced Spanish Literature, Advanced Corporate Finance, Financial and Managerial Accounting, Principles of Economics, Money and Banking
Volunteer: Radnor High School Community Service Society (2013, 2014) 
Technical: N/A

EXPERIENCE
Verify Asset Management (May 2017  Aug 2017)                                                               Boston, MA
Intern, Portfolio Management
Created reports and sent to director
Conducted research on assets for portfolios
Worked with a team

YMCA Summer Camp (June 2013  Aug 2013)                                                                          Phil., PA
Camp Counselor
Taught archery to camp attendees
Coordinated social events
Led bunk team
Reviewing a Resume  Financial Analyst Position",PANOS,47
"
EDUCATION
Bryn Mawr College 					Major GPA: 3.7
Major: Economics, Minor Art History
Coursework: Advanced Corporate Finance, International Relations, Financial and Managerial Accounting, American Literature, Principles of Economics, Advanced Spanish Literature
Volunteer: Habitat for Humanity (2016), Partners in School Innovation (Lead Data Analyst, 2017)
Technical: Proficient in Excel Data Analysis and PowerPoint Presentation Development, SQL

EXPERIENCE
Verify Asset Management (May 2017  Aug 2017)                                                               Boston, MA
Intern, Portfolio Management
Conducted strategic analysis to benchmark current portfolio performance to other peer groups; identified areas to re-align asset bookings in order to improve trading categorizations and profitability
 Recommendations increased portfolio earnings by 20% (+$50M), received positive final assessment from portfolio managers
Led internal team project to devise a new book of assets focusing specifically on new millennial customer bases. Built financial models to assess various pricing scenarios to best-suite this new customer base. Proposed profitable scenario to senior teams
Partners in School Innovation (PIS) (June 2016  Aug 2016)                                                    Phil., PA
Volunteer Employee
Led effort to conduct evaluation analysis to determine the impact of new PIS program offerings on student GPA success rate 
Worked with complex databases to extract critical datasets using a combination of SQL queries to pull information based on analysis problem statement and scope requirements
Presented analysis results to PIS innovation team; findings helped redefine customization of program offerings to account for student demographics in order to have more impacts on performance
Reviewing a Resume  Financial Analyst Position",PANOS,48
"Resume Dos and Donts
DO
DONT
Keep consistent formatting
Emphasize accomplishments, use metrics where possible
Get involved in experiences that will bolster your resume and overall professional vision
Customize resume templates based on the roles or functions youre pursuing
Regularly revisit and reflect on your resume to ensure youre gaining the skills, experiences, and bullets youre proud of
Always think from each experience what can I do that would be resume-worthy bullet
Get creative or digress from standard formatting
Go beyond 1 page
Undersell yourself or share underwhelming experiences
Keep filler experiences  e.g. High School activities, 1 time volunteers
Verbose commentary with no real tangible or specific highlight

",PANOS,49
Create / Update Linkedin,,50
"Linkedin Overview
Did You Know?
Users who have a professional headshot get 14 times more views than those without.
 - Linkedin



Structure
Personable
Interactive
Dynamic
Widely Accessible
Purpose
A digital representation of your resume
Personal exposure to a world of peers and professionals
Direct access to insights and information
Outcomes
Determining factor for a phone screen (recruiter)
Background info for discussion topics (alumns) 
Direct communication channel for recruiters, other professionals, alumns, clients","PANOS
",51
"Example 1  Vague Branding
Student
Amy Anonymous



Currently a student studying economics, pursuing business

Bryn Mawr College",CHRIS  Ask the Class Is this a good profile?,52
"Example 1  Vague Branding
Student
Amy Anonymous



Currently a student studying economics, pursuing business

Bryn Mawr College


Empty photos limit any personal connection between employer and candidate
Generic or under-utilized summaries miss the opportunity to give hiring managers am impression of your passions, strengths, talents, and interested pursuits
","CHRIS
",53
"Example 2  Vague Branding






1
1
2





6

3
2
3
4
6",PANOS  Ask the Class,54
"Example 2  Vague Branding






1
1
2






3
2
3
4
6






Generic
Not Specifically Relevant

Classical Art
Traction
Missed Exposure
Underselling
Not Applicable




Missed Exposure
Missed Exposure
Missed Exposure
Missed Exposure
Risks of an Incomplete Linkedin Profile - 
Recruiters getting the wrong impression
Recruiters having to dig around further to validate your resume
Missed opportunity to differentiate yourself in a competitive candidate pool",PANOS,55
"Example  Just Right Branding
Economics Student
Amy Anonymous



Current Senior studying Economics pursuing opportunities in rising startups. I am passionate about financial modeling and formulating the financial analytics that advise the direction of investor capital allocation for growing companies

Bryn Mawr College



A professional photo that best resembles YOU, with a plain background can add the personal touch for hiring managers
A description that aligns to your passions, professional interests, and personal strengths will only help validate a hiring managers impression",PANOS,56
"Example  Vague Branding


and 23 other



21
16
24


G


6

3
2
3
3
6

Data Analysis -

Presentations -
Financial Modeling -






Chinese    Spanish   French
Microsoft Hackathon   -  Bryn Mawr College Startup Pitch -  
Deloitte Business Case Competition
Tableau -  Microsoft Excel Advanced
Bryn Mawr Young Entrepreneur Achievement  Philly Financiers Award




Creating a vision for your profile and implementing that vision can lead to:
Better contacts for your career
Network recognition
More opportunities
Better offers
Side projects or community invites
and 15 other
and 20 other
",CHRIS,57
Draft / Finalize Mission Statement,,58
"A Good Mission Statement....
Is a short, simple, and concise sentence that is compelling and convincing when read

Is clear and deliberate about your professional interests, expertise and your goals as they relate to the job or industry youre pursuing

Explain how your strengths can help achieve success in the new position
Did You Know?
Using keywords from the job listing in your resume objective can increase the chances of your resume getting picked up by a companys applicant tracking system; it can also emphasize how your qualifications align with the job listing.


",PANOS,59
"A Simple Formula
Tell them who you are
Tell them where you fit
Tell them what you want to do and why?

= Mission 
Statement

Aha!",CHRIS,60
"A Good Mission Statement....
Tell them who you are
Tell them where you fit
Tell them what you want and why?
Senior finance professional with over 8 years banking management experience
Grow and structure programs providing the financial and strategic insights that drive decision-making of senior executives as it relates to: increasing ROI, cost-management, product portfolio performance
Pursuing Director opportunities in middle-market banking to advance leadership role by growing and grooming high-impact finance departments from early stages",PANOS,61
"A Strong vs Weak Mission Statement
Weak
Strong
In my 7 years as a Process Integration Engineer, I have acquired knowledge on process simulation, optimization and integration, inherently safer design principles, and P&ID skills. In an effort to enhance my knowledge and further my career, Id like to bring these skills to the Supply Chain Manager position.
With a demonstrated history in business administration, Im pursuing a position that will benefit from my business experience while promoting my interest in education. The Teaching Assistant for Business Administration position will continue my accelerated growth track while building the new program.
My goal is to capitalize upon new HR opportunities for career development within an organization that values hard work, integrity, and people performance results. As an HR Manager, I would focus on enhancing the staff productivity and human capital operations that align to strategic firm goals.
Motivated self-starter with 3 years experience. ______________________
To obtain a position where I can use the sales and communication skills Ive gained in my 5 years of retail sales to close deals.
Seeking a full-time (or contract) position as an SEO copywriter. Im hoping to use my writing skills and SEO skills gained through online courses.
Accounting professional with over 10 years experience looking to transfer my FIM, RIT, SEC, PIZ, T&RM skills from prior company to next. My proven mathematical and money management skills make me a perfect fit.
With a reputation for meeting objectives and aiding in reporting, Im looking to shift my career from marketing to a data scientist role.",PANOS,62
"A Strong & Weak Statement
Weak
Strong
In my 7+ years as a Process Integration Engineer, I have acquired knowledge on process simulation, optimization and integration, inherently safer design principles, and P&ID skills. In an effort to enhance my knowledge and further my career, Id like to bring these skills to the Supply Chain Manager position.
With a demonstrated history in business administration, Im pursuing a position that will benefit from my business experience while promoting my interest in education. The Teaching Assistant for Business Administration position will continue my accelerated growth track while building the new program.
My goal is to capitalize upon new HR opportunities for career development within an organization that shares my values in hard work, integrity, and people performance results. As an HR Manager, I would focus on enhancing the staff productivity and human capital operations that align to strategic firm goals.
Motivated self-starter with 3 years experience. ______________________
To obtain a position where I can use the sales and communication skills Ive gained in my 5 years of retail sales to close deals.
Seeking a full-time (or contract) position as an SEO copywriter. Im hoping to use my writing skills and SEO skills gained through online courses.
Accounting professional with over 10 years experience looking to transfer my FIM, RIT, SEC, PIZ, T&RM skills from prior company to next. My proven mathematical and money management skills make me a perfect fit.
With a reputation for meeting objectives and aiding in reporting, Im looking to shift my career from marketing to a data scientist role.",PANOS,63
"A Good Mission Statement....
8+ years senior banking professional leading finance & strategy teams advising decision-making of senior executives related to: increasing ROI, cost-management, & product portfolio performance. Pursuing Director role in middle-market to build on management experience by growing high-impact finance depts from early stages

",PANOS,64
Practice Elevator Pitch & Draft Email Templates,,65
"What makes a good email?
70% of people make hiring/purchasing decisions to solve problems  HubSpot...
Figure out how to communicate where or how you can contribute to solving their problem
Your knowledge, skills, or proposal will not get the deserved attention if cannot be clearly articulated and positioned to cater your audience

Email still remains one of the most convenient and speedy forms of global communication.
Did You Know?",CHRIS,66
"Marketing and Introducing You 
Outreach Email
Persistence. Resilience. Professionalism. 
Subj: Hello from Haverford Senior, Pursuing a Job at Your Company
Dear Madam/Sir,
Hows it going? My name is Candace Casual and I am reaching out to you because I think I would be a good fit for the analyst position at Deloitte.
I am a senior at Haverford and am current doing my thesis on the tribal psychology of Amazonian tribes. I spent also summer doing research at an institute. I was very interested in the work and believe the skills related to consulting 
It would be great to talk to you to you!!
Thanks,
Carry",PANOS,67
"Marketing and Introducing You 
Outreach Email
Subj: Hello from Haverford Senior, Pursuing a Job at Your Company
Dear Madam/Sir,
Hows it going? My name is Carry Casual and I am reaching out to you because I think I would be a good fit for the analyst position at Deloitte.
I am a senior at Haverford and am current doing my thesis on the tribal psychology of Amazonian tribes. I spent also summer doing research at an institute. I was very interested in the work and believe the skills related to consulting 
It would be great to talk to you to you!!
Thanks,
Carry","PANOS
",68
"Marketing and Introducing You 
Outreach Email
Subj: Haverford Senior, Interested in Learning about E&Y Healthcare Practice
Dear Mr. Elliot,
I hope this message finds you well. I am a current senior interested in learning about your experience as the Healthcare Practice Leader at Ernst & Young.
To give a brief background, I started my career in business by working at a boutique consulting company analyzing the data of hospitals to determine opportunities for cost-reductions. It was a great experience that helped me further narrow my interest in consulting, particularly in Healthcare. Sophomore year I decided to focus my studies in mathematics, economics, and also taking several courses at PENN focusing on business strategy. At the end of sophomore year, I was invited to attend a healthcare consulting seminar at Dartmouth where I had a chance to be on a panelist board discussing how hospitals can reduce costs by scheduling patent visits in advance instead of accepting last minute appointments and overbooking doctors. I  found the discussion to be very exciting. Junior year I began my major courses that helped me continue to sharpen my technical skills. During junior year I volunteered at a community center helping adults with disabilities learn to use computers and work with basic software; this was a form of occupational therapy. Recently, I came across an E&Y white paper about the reduction of insurance fees incurred to hospitals if occupational therapy and pre-liminary wellness screening options was offered by healthcare practitioners. I was curious how you think this could be implemented if it wouldnt be in the best interest of insurance companys? Would they comply with the change knowing that hospitals would ultimately benefit?
Now that I am wrapping up my senior year, I believe consulting would be the best career for me, and I believe hearing about your experiences would only help me better understand what I will be pursuing. 
Thank you,
Steve Superfluous","PANOS
",69
"Marketing and Introducing You 
Outreach Email
Subj: Haverford Senior, Interested in Learning about E&Y Healthcare Practice
Dear Mr. Elliot,
I hope this message finds you well. I am a current senior interested in learning about your experience as the Healthcare Practice Leader at Ernst & Young.
To give a brief background, I started my career in business by working at a boutique consulting company analyzing the data of hospitals to determine opportunities for cost-reductions. It was a great experience that helped me further narrow my interest in consulting, particularly in Healthcare. Sophomore year I decided to focus my studies in mathematics, economics, and also taking several courses at PENN focusing on business strategy. At the end of sophomore year, I was invited to attend a healthcare consulting seminar at Dartmouth where I had a chance to be on a panelist board discussing how hospitals can reduce costs by scheduling patent visits in advance instead of accepting last minute appointments and overbooking doctors. I  found the discussion to be very exciting. Junior year I began my major courses that helped me continue to sharpen my technical skills. During junior year I volunteered at a community center helping adults with disabilities learn to use computers and work with basic software; this was a form of occupational therapy. I recently came across an E&Y white paper about how hospitals can reduce incurred insurance fees if pre-liminary wellness screening options was offered by healthcare practitioners. That was an interesting external cost-reduction approach. I was curious how you think this could be implemented if it wouldnt be in the best interest of insurance companys who have binding agreements with hospitals? Would they comply with the change knowing that hospitals would ultimately benefit?
Now that I am wrapping up my senior year, I believe consulting would be the best career for me and hearing about your experiences would only help me better understand what I will be pursuing. If its not of any inconvenience, I would like to schedule some time to further learn about your background at E&Y. 
Thank you in advance for your time,
Steve Superfluous","PANOS

Positives  interesting and relevant experience, seemed enthusiastic about it, specific reference of a white paper. Included another highlight",70
"Marketing and Introducing You 
Outreach Email
Subj: Hello from Haverford Senior, Interested in Learning about Deloitte S&O
Dear Mr/Ms. XX,
I am reaching out to you because I am interested in learning more about your background and experiences at Deloittes Strategy & Operations practice. 
I was hoping to learn about the latest project with... 
I was interested in the S&Os service offering for the Banking Industry..
I studied profitability cases in my Corporate Finance course and I was hoping to learn about real-world cases of....as as financial analyst intern at X, I conducted customer profitability analysis to x,y,z....and was wondering how...
If its not of any inconvenience, I would like to arrange a time to talk by phone or meet in person. I have attached my resume for reference. 
I look forward to speaking with you.
","PANOS
",71
"Lets Practice!
Elevator Pitch

Communication:
Simple
Impactful
Directional
Specific
Relevant
Fillerless

Executive Presence:
Posture
Vocals
Eyes
Be Yourself!


",CHRIS,72
Researching Articles & Becoming a Subject Matter Expert (SME),,73
"
Breakdown of Interests > Research > Subject Matter Expertise (SME)
Alternative Energy
Analytics Consulting / Business Intelligence
Indirect Mentors
Organically Developed
SME",PANOS,74
"Getting Active, and Out There!",,75
"3 Steps for Getting Active and Out There!
Persistence. Resilience. Professionalism. 
Commit a portion of your day to networking emails, phone calls, and job searching. Grow from challenges, denials, and errors until you become the ideal candidate. Master all the techniques, tips, and etiquette for demonstrating that you are a professional ready for employment in a reputable organization.


The


Offer","PANOS
",76
